Team,Name,Role,Bowling Type,Batting Position,Nationality,Priority,Rating
CSK,MS Dhoni,WK,NA,Middle,India,Top,8
CSK,Sanju Samson,WK,NA,Opener,India,Top,10
CSK,Kartik Sharma,WK,NA,Top,India,Mid,8
CSK,Urvil Patel,WK,NA,Middle,India,Low,8
CSK,Ruturaj Gaikwad,Batter,NA,Opener,India,Top,10
CSK,Devald Brevis,Batter,NA,Middle,South Africa,Top,10
CSK,Ayush Mahtre,Batter,NA,Top,India,Top,9
CSK,Sarfaraz Khan,Batter,NA,Middle,India,Mid,8
CSK,Anshul Kamboj,All Rounder,Pace,Lower Middle,India,High,8
CSK,Jamie Overton,All Rounder,Pace,Lower Middle,England,High,8
CSK,Ramakrishna Ghosh,All Rounder,Pace,Lower Middle,India,Low,7
CSK,Prashant Veer,All Rounder,Spin,Middle,India,Mid,8
CSK,Matthew Short,Batter,Pace,Top,Australia,Mid,9
CSK,Aman Khan,All Rounder,Pace,Middle,India,Low,7
CSK,Zak Folkes,All Rounder,Pace,Lower Middle,New Zealand,Low,7
CSK,Shivam Dube,All Rounder,Pace,Middle,India,Top,9
CSK,Khaleel Ahmed,Bowler,pace,Lower,India,High,9
CSK,Mukesh Chaudhary,Bowler,pace,Lower,India,Mid,8
CSK,Spencer Johnson,Bowler,pace,Lower Middle,Australia,Mid,9
CSK,Matt Henry,Bowler,pace,Lower,New Zealand,High,9
CSK,Gurjanpreet Singh,Bowler,pace,Lower,India,Low,8
CSK,Noor Ahmed,Bowler,Spin,Lower,Afghanistan,Top,10
CSK,Akeal Hossein,Bowler,Spin,Lower Middle,West Indies,Mid,9
CSK,Shreyas Gopal,Bowler,Spin,Lower,India,Low,7
CSK,Rahul Chahar,Bowler,Spin,Lower,India,High,9
DC,KL Rahul,WK,NA,Opener,India,Top,10
DC,Abhishek Porel,WK,NA,Top,India,Mid,8
DC,Tristan Stubbs,WK,NA,Middle,South Africa,Top,9
DC,Ben Duckett,Batter,NA,Opener,England,Mid,9
DC,Karun Nair,Batter,NA,Middle,India,Mid,8
DC,David Miller,Batter,NA,Middle,South Africa,High,10
DC,Pathum Nissanka,Batter,NA,Opener,Sri Lanka,High,10
DC,Sahil Parakh,Batter,NA,Middle,India,Low,8
DC,Prithvi Shaw,Batter,NA,Opener,India,Mid,8
DC,Axar Patel,All Rounder,Spin,Middle,India,Top,10
DC,Sameer Rizvi,Batter,Spin,Middle,India,Low,8
DC,Ashutosh Sharma,All Rounder,Spin,Middle,India,High,9
DC,Vipraj Nigam,All Rounder,Spin,Lower Middle,India,Top,9
DC,Ajay Mandal,All Rounder,Spin,Lower Middle,India,Low,8
DC,Tripurana Vijay,All Rounder,Spin,Middle,India,Low,7
DC,Madhav Tiwari,All Rounder,Pace,Middle,India,Low,7
DC,Aaqib Dar,All Rounder,Pace,Lower Middle,India,High,9
DC,Nitish Rana,Batter,Spin,Top,India,Top,9
DC,Mitchell Starc,Bowler,Pace,Lower Middle,Australia,Top,10
DC,T natarajan,Bowler,Pace,Lower,India,High,10
DC,Mukesh Kumar,Bowler,Pace,Lower,India,High,9
DC,Lungi Ngidi,Bowler,Pace,Lower,South Africa,High,9
DC,Kyle Jamieson,Bowler,Pace,Lower Middle,New Zealand,Mid,9
DC,Dushmanta Chameera,Bowler,Pace,Lower,Sri Lanka,Mid,9
DC,Kuldeep Yadav,Bowler,Spin,Lower,India,Top,10
GT,Jos Buttler,WK,NA,Opener,England,Top,10
GT,Kumar Kushagra,WK,NA,Middle,India,Low,8
GT,Anuj Rawat,WK,NA,Opener,India,Mid,8
GT,Tom Banton,WK,NA,Top,England,Mid,8
