city,match_type,team1,team2,toss_winner,toss_decision,winner,method
Bengaluru,League,RCB,KKR,RCB,field,KKR,NA
Chandigarh,League,PBKS,CSK,CSK,bat,CSK,NA
Delhi,League,DC,RR,RR,bat,DC,NA
Mumbai,League,MI,RCB,MI,bat,RCB,NA
Kolkata,League,KKR,SRH,SRH,bat,KKR,NA
Jaipur,League,RR,PBKS,PBKS,bat,RR,NA
Hyderabad,League,SRH,DC,SRH,bat,DC,NA
Chennai,League,CSK,MI,MI,field,CSK,NA
Hyderabad,League,SRH,RR,RR,field,RR,NA
Chandigarh,League,PBKS,MI,MI,field,PBKS,NA
Bengaluru,League,RCB,RR,RR,field,RR,NA
Chennai,League,CSK,KKR,KKR,bat,CSK,NA
Mumbai,League,MI,SRH,SRH,field,SRH,NA
Chandigarh,League,PBKS,DC,DC,bat,PBKS,NA
Bengaluru,League,RCB,CSK,CSK,bat,CSK,NA
Kolkata,League,KKR,MI,KKR,bat,MI,NA
Delhi,League,DC,RCB,RCB,field,DC,NA
Hyderabad,League,SRH,PBKS,PBKS,field,PBKS,NA
Jaipur,League,RR,KKR,RR,bat,RR,NA
Chennai,League,CSK,DC,CSK,bat,DC,NA
Chandigarh,League,PBKS,KKR,PBKS,bat,PBKS,NA
Bengaluru,League,RCB,SRH,SRH,field,RCB,NA
Mumbai,League,MI,DC,DC,field,MI,NA
Jaipur,League,RR,CSK,CSK,bat,RR,NA
Bengaluru,League,RCB,PBKS,PBKS,field,PBKS,NA
Chennai,League,CSK,SRH,SRH,field,SRH,NA
Mumbai,League,MI,RR,MI,field,MI,NA
Delhi,League,DC,CSK,CSK,field,CSK,NA
Kolkata,League,KKR,RCB,KKR,bat,KKR,NA
Jaipur,League,RR,SRH,RR,field,RR,NA
Chennai,League,CSK,PBKS,PBKS,field,CSK,NA
Hyderabad,League,SRH,KKR,KKR,bat,KKR,NA
Jaipur,League,RR,DC,RR,field,RR,NA
Chandigarh,League,PBKS,RCB,RCB,bat,PBKS,NA
Kolkata,League,KKR,DC,KKR,bat,KKR,NA
Mumbai,League,MI,CSK,MI,field,MI,NA
Delhi,League,DC,SRH,SRH,field,DC,NA
Mumbai,League,MI,KKR,MI,field,MI,NA
Delhi,League,DC,PBKS,DC,bat,PBKS,D/L
Jaipur,League,RR,RCB,RCB,field,RR,NA
Hyderabad,League,SRH,MI,SRH,field,MI,NA
Kolkata,League,KKR,CSK,KKR,bat,CSK,D/L
Bengaluru,League,RCB,DC,DC,field,DC,NA
Kolkata,League,KKR,RR,RR,field,RR,NA
Mumbai,League,MI,PBKS,MI,field,PBKS,NA
Chennai,League,CSK,RCB,RCB,bat,RCB,NA
Chandigarh,League,PBKS,SRH,PBKS,field,PBKS,NA
Delhi,League,DC,MI,DC,field,DC,NA
Chennai,League,CSK,RR,RR,bat,RR,NA
Hyderabad,League,SRH,RCB,SRH,bat,RCB,NA
Kolkata,League,KKR,PBKS,PBKS,bat,KKR,NA
Jaipur,League,RR,MI,RR,field,RR,NA
Hyderabad,League,SRH,CSK,SRH,bat,CSK,NA
Bengaluru,League,RCB,MI,MI,field,MI,NA
Chandigarh,League,PBKS,RR,RR,field,PBKS,NA
Mumbai,Semi Final,DC,RR,DC,field,RR,NA
Mumbai,Semi Final,CSK,PBKS,PBKS,bat,CSK,NA
Mumbai,Final,CSK,RR,RR,field,RR,NA
Cape Town,League,CSK,MI,CSK,field,MI,NA
Cape Town,League,RCB,RR,RCB,bat,RCB,NA
Cape Town,League,DC,PBKS,DC,field,DC,D/L
Cape Town,League,SRH,KKR,KKR,bat,SRH,NA
Port Elizabeth,League,RCB,CSK,CSK,bat,CSK,NA
Durban,League,PBKS,KKR,KKR,field,KKR,D/L
Cape Town,League,RCB,SRH,SRH,bat,SRH,NA
Durban,League,CSK,DC,DC,bat,DC,NA
Cape Town,League,KKR,RR,KKR,field,RR,NA
